video_id,video_title,question_id,question,answer,difficulty,normalized_answer,normalized_question,is_aligned
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q001,ماذا ورد في هذا الموضع من النص؟,"افتح موضوع جديد يا ""ميدو""، أنا مش ناقص!",Easy,افتح وموضوع جديد يا ميدو ، انا مش ناقص !,ماذا ورد في هذا الموضع من النص ؟,True
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q002,ما الجملة المذكورة في هذا السياق؟,وبعد كدا، هتنطفي هي كمان.,Medium,وبعد كدا ، هتنطفي هي كمان .,ما الجمله المذكوره في هذا السياق ؟,True
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q003,كيف صيغت العبارة هنا؟,- أيوة.,Easy,- ايوه .,كيف صيغت العباره هنا ؟,True
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q004,ما الذي قيل في هذا الجزء؟,- عشان كُل حاجة بتنتهي.,Medium,- عشان كل حاجه بتنتهي .,ما الذي قيل في هذا الجزء ؟,True
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,- عشان الفيزيا بتقول كدا.,Easy,- عشان الفيزيا بتقولي كدا .,ما النص الحرفي المذكور في هذه الفقره ؟,True
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q006,ماذا ورد في هذا الموضع من النص؟,- عشان الفيزيا رياضة تطبيقية،,Medium,- عشان الفيزيا رياضه تطبيقيه ،,ماذا ورد في هذا الموضع من النص ؟,True
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q007,ما الجملة المذكورة في هذا السياق؟,والفلاسفة قالوا كدا.,Easy,والفلاسفه قالوا كدا .,ما الجمله المذكوره في هذا السياق ؟,True
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q008,كيف صيغت العبارة هنا؟,- عشان كانوا فاضيين وفي (اليونان) و...,Medium,- عشان كانوا فاضيين وفي و...,كيف صيغت العباره هنا ؟,True
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q009,ما الذي قيل في هذا الجزء؟,- عشان الأحياء بتسمع كلام الفيزيا برضه.,Easy,- عشان الاحياء بتسمع كلام الفيزيا برضه .,ما الذي قيل في هذا الجزء ؟,True
0urc3PabvOs,مصير الأرض و الشمس و كل شيء | الدحيح,0urc3PabvOs_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,- هش!,Medium,- هش !,ما النص الحرفي المذكور في هذه الفقره ؟,True
