video_id,video_title,question_id,question,answer,difficulty,normalized_answer,normalized_question,is_aligned
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q001,ما الذي ورد في النص في الفقرة رقم 1؟,نُص بني آدم، ونُص أخطبوط في التاريخ.,Easy,نص بني ادم ، ونص اخطبوط في التاريخ .,ما الذي ورد في النص في الفقره رقم 1 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q002,ما الذي ورد في النص في الفقرة رقم 2؟,وشوية رُز صيادية،,Medium,وشويه رز صياديه ،,ما الذي ورد في النص في الفقره رقم 2 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q003,ما الذي ورد في النص في الفقرة رقم 3؟,هيبقى عندك قدرات خارقة،,Easy,هيبقي عندك قدرات خارقه ،,ما الذي ورد في النص في الفقره رقم 3 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q004,ما الذي ورد في النص في الفقرة رقم 4؟,يعملّه كام دلوقتي؟,Medium,يعمله كام دلوقتي ؟,ما الذي ورد في النص في الفقره رقم 4 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q005,ما الذي ورد في النص في الفقرة رقم 5؟,وقوم اسلقلنا الأخطبوط اللي جوا،,Easy,وقوم اسلقلنا فالاخطبوط اللي جوا ،,ما الذي ورد في النص في الفقره رقم 5 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q006,ما الذي ورد في النص في الفقرة رقم 6؟,السلام عليكم ورحمة الله وبركاته،,Medium,السلام عليكم ورحمه الله وبركاته ،,ما الذي ورد في النص في الفقره رقم 6 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q007,ما الذي ورد في النص في الفقرة رقم 7؟,"من برنامج ""الدحّيح""!",Easy,من برنامج الدحيح !,ما الذي ورد في النص في الفقره رقم 7 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q008,ما الذي ورد في النص في الفقرة رقم 8؟,حيّر العلماء لسنين،,Medium,حير فالعلماء لسنين ،,ما الذي ورد في النص في الفقره رقم 8 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q009,ما الذي ورد في النص في الفقرة رقم 9؟,بكتيريا، طحالب، شوية خلايا،,Easy,بكتيريا ، طحالب ، شويه خلايا ،,ما الذي ورد في النص في الفقره رقم 9 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q010,ما الذي ورد في النص في الفقرة رقم 10؟,هياكل وأعضاء وحاجات معقدة،,Medium,هياكل واعضاء وحاجات معقده ،,ما الذي ورد في النص في الفقره رقم 10 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q011,ما الذي ورد في النص في الفقرة رقم 11؟,رخويات، مفصليات،,Easy,رخويات ، مفصليات ،,ما الذي ورد في النص في الفقره رقم 11 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q012,ما الذي ورد في النص في الفقرة رقم 12؟,اسمها الانفجار الكامبري،,Medium,اسمها الانفجار الكامبري ،,ما الذي ورد في النص في الفقره رقم 12 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q013,ما الذي ورد في النص في الفقرة رقم 13؟,أشكال معقدة من الحياة,Easy,اشكال معقده من الحياه,ما الذي ورد في النص في الفقره رقم 13 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q014,ما الذي ورد في النص في الفقرة رقم 14؟,لا يوجد سبب واحد متفقين عليه,Medium,لا يوجد سبب واحد متفقين عليه,ما الذي ورد في النص في الفقره رقم 14 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q015,ما الذي ورد في النص في الفقرة رقم 15؟,إن فجأة كدا الأكسجين زاد.,Easy,ان فجاه كدا الاكسجين زاد .,ما الذي ورد في النص في الفقره رقم 15 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q016,ما الذي ورد في النص في الفقرة رقم 16؟,إن سباق المفترس والفريسة,Medium,ان سباق المفترسه والفريسه,ما الذي ورد في النص في الفقره رقم 16 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q017,ما الذي ورد في النص في الفقرة رقم 17؟,إن غالبًا لمّا القارات اتفتت،,Easy,ان غالبا لما القارات اتفتت ،,ما الذي ورد في النص في الفقره رقم 17 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q018,ما الذي ورد في النص في الفقرة رقم 18؟,اللي ساعد في تكوين هذه الهياكل.,Medium,اللي ساعد في تكوين هذه الهياكل .,ما الذي ورد في النص في الفقره رقم 18 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q019,ما الذي ورد في النص في الفقرة رقم 19؟,سببه كان أرضي ولّا كوني؟,Easy,سببه كان ارضي ولا كوني ؟,ما الذي ورد في النص في الفقره رقم 19 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q020,ما الذي ورد في النص في الفقرة رقم 20؟,دخلت أجسام الكائنات,Medium,دخلت اجسام الكاينات,ما الذي ورد في النص في الفقره رقم 20 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q021,ما الذي ورد في النص في الفقرة رقم 21؟,بيض اتشال على نيزك،,Easy,بيض اتشال علي نيزك ،,ما الذي ورد في النص في الفقره رقم 21 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q022,ما الذي ورد في النص في الفقرة رقم 22؟,& Molecular Biology Journal،,Medium,& molecular biology journal ،,ما الذي ورد في النص في الفقره رقم 22 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q023,ما الذي ورد في النص في الفقرة رقم 23؟,اللي عايشين معانا، على حسب هذه الفرضية،,Easy,اللي عايشين معانا ، علي حسب هذه الفرضيه ،,ما الذي ورد في النص في الفقره رقم 23 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q024,ما الذي ورد في النص في الفقرة رقم 24؟,يعني انت بتقول في هذا البرنامج المحترم,Medium,يعني انت بتقول في هذا البرنامج المحترم,ما الذي ورد في النص في الفقره رقم 24 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q025,ما الذي ورد في النص في الفقرة رقم 25؟,"إن الأخطبوط اللي عندنا Alien؟! كائن فضائي؟!""",Easy,ان فالاخطبوط اللي عندنا alien ؟ ! كاين فضايي ؟ !,ما الذي ورد في النص في الفقره رقم 25 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q026,ما الذي ورد في النص في الفقرة رقم 26؟,"- ""أمّال يا (أبو حميد)؟!""",Medium,- امال يا ؟ !,ما الذي ورد في النص في الفقره رقم 26 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q027,ما الذي ورد في النص في الفقرة رقم 27؟,"الله! انت بتضحك عليا؟!""",Easy,الله ! انت بتضحك عليا ؟ !,ما الذي ورد في النص في الفقره رقم 27 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q028,ما الذي ورد في النص في الفقرة رقم 28؟,اللي بأكلمك عليها دي، لم تكن دراسة تجريبية،,Medium,اللي باكلمك عليها دي ، لم تكن دراسه تجريبيه ،,ما الذي ورد في النص في الفقره رقم 28 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q029,ما الذي ورد في النص في الفقرة رقم 29؟,القطط الفطسانة،,Easy,القطط الفطسانه ،,ما الذي ورد في النص في الفقره رقم 29 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q030,ما الذي ورد في النص في الفقرة رقم 30؟,ليسوا خبراء في هذا المجال،,Medium,ليسوا خبراء في هذا المجال ،,ما الذي ورد في النص في الفقره رقم 30 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q031,ما الذي ورد في النص في الفقرة رقم 31؟,"طرحت هذه الورقة بما إن تم تكذيبها؟!""",Easy,طرحت هذه الورقه بما ان تم تكذيبها ؟ !,ما الذي ورد في النص في الفقره رقم 31 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q032,ما الذي ورد في النص في الفقرة رقم 32؟,هي لماذا بعض العلماء،,Medium,هي لماذا بعض فالعلماء ،,ما الذي ورد في النص في الفقره رقم 32 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q033,ما الذي ورد في النص في الفقرة رقم 33؟,كائن غريب جدًا جدًا،,Easy,كاين غريب جدا جدا ،,ما الذي ورد في النص في الفقره رقم 33 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q034,ما الذي ورد في النص في الفقرة رقم 34؟,"في ""شركة المرعبين المحدودة""،",Medium,في شركه المرعبين المحدوده ،,ما الذي ورد في النص في الفقره رقم 34 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q035,ما الذي ورد في النص في الفقرة رقم 35؟,كأنها وحوش فضائية،,Easy,كانها وحوش فضاييه ،,ما الذي ورد في النص في الفقره رقم 35 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q036,ما الذي ورد في النص في الفقرة رقم 36؟,كان الأخطبوط.,Medium,كان فالاخطبوط .,ما الذي ورد في النص في الفقره رقم 36 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q037,ما الذي ورد في النص في الفقرة رقم 37؟,إن فيه حيوانات تانية شكلها غريب،,Easy,ان فيه حيوانات تانيه شكلها غريب ،,ما الذي ورد في النص في الفقره رقم 37 ؟,True
8rcY34IA-6I,الأخطبوط | الدحيح,8rcY34IA-6I_Q038,ما الذي ورد في النص في الفقرة رقم 38؟,لمّا نيجي نبص على الأخطبوط،,Medium,لما نيجي نبص علي فالاخطبوط ،,ما الذي ورد في النص في الفقره رقم 38 ؟,True
