video_id,video_title,question_id,question,answer,difficulty,normalized_answer,normalized_question,is_aligned
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q001,ماذا ورد في هذا الموضع من النص؟,الوضع بقى معقد جدًا بشكل استثنائي،,Easy,الوضع بقي معقد جدا بشكل استثنايي ،,ماذا ورد في هذا الموضع من النص ؟,True
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q002,ما الجملة المذكورة في هذا السياق؟,ما حدش محتاج يتحرك.,Medium,ما حدش محتاج يتحرك .,ما الجمله المذكوره في هذا السياق ؟,True
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q003,كيف صيغت العبارة هنا؟,- كل حاجة بتيجي لحد البيت،,Easy,- كل حاجه بتيجي لحد البيت ،,كيف صيغت العباره هنا ؟,True
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q004,ما الذي قيل في هذا الجزء؟,ويقوم يشوف رزقه؟,Medium,ويقوم يشوف رزقه ؟,ما الذي قيل في هذا الجزء ؟,True
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,على الـFaceTime،,Easy,علي ال facetime ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q006,ماذا ورد في هذا الموضع من النص؟,عشان نقدر نقعد في حتة.,Medium,عشان نقدر نقعد في حته .,ماذا ورد في هذا الموضع من النص ؟,True
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q007,ما الجملة المذكورة في هذا السياق؟,الإنسان عشان يطلّع عضلات، ممكن ياخد حبوب،,Easy,الانسان عشان يطلع عضلات ، ممكن ياخد حبوب ،,ما الجمله المذكوره في هذا السياق ؟,True
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q008,كيف صيغت العبارة هنا؟,وسيب الزفت اللي في إيدك!,Medium,وسيب الزفت اللي في ايدك !,كيف صيغت العباره هنا ؟,True
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q009,ما الذي قيل في هذا الجزء؟,السلام عليكم ورحمة الله وبركاته،,Easy,السلام عليكم ورحمه الله وبركاته ،,ما الذي قيل في هذا الجزء ؟,True
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,"من برنامج ""الدحّيح""!",Medium,من برنامج الدحيح !,ما النص الحرفي المذكور في هذه الفقره ؟,True
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q011,ماذا ورد في هذا الموضع من النص؟,- حوضك، افتحه دلوقتي حالًا!,Easy,- حوضك ، افتحه دلوقتي حالا !,ماذا ورد في هذا الموضع من النص ؟,True
MOEwXtL2DQ4,فيزياء و فلسفة الحركة | الدحيح,MOEwXtL2DQ4_Q012,ما الجملة المذكورة في هذا السياق؟,إلى زاوية مستقيمة، اتصرّف!,Medium,الي زاويه مستقيمه ، اتصرف !,ما الجمله المذكوره في هذا السياق ؟,True
