video_id,video_title,question_id,question,answer,difficulty,normalized_answer,normalized_question,is_aligned
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q001,ماذا ورد في هذا الموضع من النص؟,- صرح كبير،,Easy,- صرح كبير ،,ماذا ورد في هذا الموضع من النص ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q002,ما الجملة المذكورة في هذا السياق؟,ويزوره ملايين الناس لمّا أموت،,Medium,ويزوره ملايين الناس لما اموت ،,ما الجمله المذكوره في هذا السياق ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q003,كيف صيغت العبارة هنا؟,"- صرح إيه يا ""أمل""؟!",Easy,- صرح ايه يا امل ؟ !,كيف صيغت العباره هنا ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q004,ما الذي قيل في هذا الجزء؟,- إيه دا؟!,Medium,- ايه دا ؟ !,ما الذي قيل في هذا الجزء ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,تبني أصرحة وأضرحة،,Easy,تبني اصرحه واضرحه ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q006,ماذا ورد في هذا الموضع من النص؟,- هرم.,Medium,- هرم .,ماذا ورد في هذا الموضع من النص ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q007,ما الجملة المذكورة في هذا السياق؟,السلام عليكم ورحمة الله وبركاته،,Easy,السلام عليكم ورحمه الله وبركاته ،,ما الجمله المذكوره في هذا السياق ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q008,كيف صيغت العبارة هنا؟,"من برنامج ""الدحّيح""!",Medium,من برنامج الدحيح !,كيف صيغت العباره هنا ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q009,ما الذي قيل في هذا الجزء؟,تبقى ليلة سعيدة في حياته،,Easy,تبقي ليله سعيده في حياته ،,ما الذي قيل في هذا الجزء ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,بتتعب وبتتوفى بسبب مضاعفات الولادة.,Medium,بتتعب وبتتوفي بسبب مضاعفات الولاده .,ما النص الحرفي المذكور في هذه الفقره ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q011,ماذا ورد في هذا الموضع من النص؟,"للدرجادي الست دي كانت كويسة؟!""",Easy,للدرجادي الست دي كانت كويسه ؟ !,ماذا ورد في هذا الموضع من النص ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q012,ما الجملة المذكورة في هذا السياق؟,"غيّرلها اسمها الأصلي ""أرجمان مانو""،",Medium,غيرلها اسمها الاصلي ارجمان مانو ،,ما الجمله المذكوره في هذا السياق ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q013,كيف صيغت العبارة هنا؟,من أهم قصص الحُب في التاريخ.,Easy,من اهم قصص الحب في التاريخ .,كيف صيغت العباره هنا ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q014,ما الذي قيل في هذا الجزء؟,"والحاج ""أحمد السُبكي""،",Medium,والحاج احمد السبكي ،,ما الذي قيل في هذا الجزء ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q015,ما النص الحرفي المذكور في هذه الفقرة؟,كمّلت لحد ما جيبنا أول مولود،,Easy,كملت لحد ما جيبنا اول مولود ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q016,ماذا ورد في هذا الموضع من النص؟,في تاريخ إمبراطوريته،,Medium,في تاريخ امبراطوريه ،,ماذا ورد في هذا الموضع من النص ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q017,ما الجملة المذكورة في هذا السياق؟,إنه من عجايب الدنيا السبعة الحديثة،,Easy,انه من عجايب الدنيا السبعه الحديثه ،,ما الجمله المذكوره في هذا السياق ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q018,كيف صيغت العبارة هنا؟,أول حاجة محتاجين نسألها هنا,Medium,اول حاجه محتاجين نسالها هنا,كيف صيغت العباره هنا ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q019,ما الذي قيل في هذا الجزء؟,بإنه يبنيلها صرح؟,Easy,بانه هيبنيلها صرح ؟,ما الذي قيل في هذا الجزء ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q020,ما النص الحرفي المذكور في هذه الفقرة؟,محتاجين نرجع لثقافة البلد،,Medium,محتاجين نرجع لثقافه البلد ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q021,ماذا ورد في هذا الموضع من النص؟,إن واحدة من أكبر وأقوى الدول المسلمة تاريخيًا,Easy,ان واحده من اكبر واقوي الدول المسلمه تاريخيا,ماذا ورد في هذا الموضع من النص ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q022,ما الجملة المذكورة في هذا السياق؟,أو The Mughals.,Medium,او the mughals .,ما الجمله المذكوره في هذا السياق ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q023,كيف صيغت العبارة هنا؟,"لـ""بنجلاديش"" و""أفغانستان""،",Easy,لبنجلاديش وافغانستان ،,كيف صيغت العباره هنا ؟,True
gv5hDK2YQfA,تاج محل | الدحيح,gv5hDK2YQfA_Q024,ما الذي قيل في هذا الجزء؟,وصل لمئات الملايين.,Medium,وصل لميات الملايين .,ما الذي قيل في هذا الجزء ؟,True
