video_id,video_title,question_id,question,answer,difficulty,normalized_answer,normalized_question,is_aligned
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q001,ماذا ورد في هذا الموضع من النص؟,يبدو إني في آخر أيامي خلاص!,Easy,يبدو اني في اخر ايامي خلاص !,ماذا ورد في هذا الموضع من النص ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q002,ما الجملة المذكورة في هذا السياق؟,ألف سلامة يا حاج! ألف سلامة!,Medium,الف سلامه يا حاج ! الف سلامه !,ما الجمله المذكوره في هذا السياق ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q003,كيف صيغت العبارة هنا؟,"اسمع يا ""أحمد"" يا ابني،",Easy,اسمع يا احمد يا ابني ،,كيف صيغت العباره هنا ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q004,ما الذي قيل في هذا الجزء؟,انت كبير العِيلة،,Medium,انت كبير العيله ،,ما الذي قيل في هذا الجزء ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,أنا سيبتلك قصر كبير،,Easy,انا سيبتلك قصر كبير ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q006,ماذا ورد في هذا الموضع من النص؟,ليك انت وإخواتك.,Medium,ليك انت اخواتك .,ماذا ورد في هذا الموضع من النص ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q007,ما الجملة المذكورة في هذا السياق؟,"إيه؟! سيبتلنا إيه؟! قصر على ""النيل""؟!",Easy,ايه ؟ ! سيبتلنا ايه ؟ ! قصر علي النيل ؟ !,ما الجمله المذكوره في هذا السياق ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q008,كيف صيغت العبارة هنا؟,"""نيل"" إيه يا بني آدم؟!",Medium,نيل ايه يا بني ادم ؟ !,كيف صيغت العباره هنا ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q009,ما الذي قيل في هذا الجزء؟,بقولّك: قصر كبير.,Easy,قولك: قصر كبير .,ما الذي قيل في هذا الجزء ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,آه! أيوة، أيوة، أيوة،,Medium,اه ! ايوه ، ايوه ، ايوه ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q011,ماذا ورد في هذا الموضع من النص؟,آسف يا بابا، معلش،,Easy,اسف يا بابا ، معلش ،,ماذا ورد في هذا الموضع من النص ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q012,ما الجملة المذكورة في هذا السياق؟,انت عارف، أنا بقالي فترة مش بسمع كويس.,Medium,انت عارف ، انا قالي فتره مش بسمع كويس .,ما الجمله المذكوره في هذا السياق ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q013,كيف صيغت العبارة هنا؟,وبس كدا؟!,Easy,وبس كدا ؟ !,كيف صيغت العباره هنا ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q014,ما الذي قيل في هذا الجزء؟,ولا بَنطَق كويس،,Medium,ولا بنطق كويس ،,ما الذي قيل في هذا الجزء ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q015,ما النص الحرفي المذكور في هذه الفقرة؟,ولا بقول جُمَل طويلة،,Easy,ولا بقول جمل طويله ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q016,ماذا ورد في هذا الموضع من النص؟,ولا بعرف أنطق كلمات ياباني، فرنساوي،,Medium,ولا بعرف انطق كلمات ياباني ، رنساوي ،,ماذا ورد في هذا الموضع من النص ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q017,ما الجملة المذكورة في هذا السياق؟,ولا حتى عربي،,Easy,ولا حتي عربي ،,ما الجمله المذكوره في هذا السياق ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q018,كيف صيغت العبارة هنا؟,يعني، عندي مشاكل كتير، بصراحة.,Medium,يعني ، عندي مشاكل كتير ، صراحه .,كيف صيغت العباره هنا ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q019,ما الذي قيل في هذا الجزء؟,عاملّي بس فيها صانع محتوى،,Easy,عاملي بس فيها صانع محتوي ،,ما الذي قيل في هذا الجزء ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q020,ما النص الحرفي المذكور في هذه الفقرة؟,وماشي تكلملي نَفْسَك طول اليوم!,Medium,ماشي تكلملي نفسك طول اليوم !,ما النص الحرفي المذكور في هذه الفقره ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q021,ماذا ورد في هذا الموضع من النص؟,يلّا يا فاشل!,Easy,يلا يا فاشل !,ماذا ورد في هذا الموضع من النص ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q022,ما الجملة المذكورة في هذا السياق؟,آه!,Medium,اه !,ما الجمله المذكوره في هذا السياق ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q023,كيف صيغت العبارة هنا؟,انت، يا ابني، من ساعة ما اتولدت...,Easy,انت ، يا ابني ، من ساعه ما اتولدت . . .,كيف صيغت العباره هنا ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q024,ما الذي قيل في هذا الجزء؟,وأنا شايف فيك جينات أمك...,Medium,وانا شايف فيك جينات امك . . .,ما الذي قيل في هذا الجزء ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q025,ما النص الحرفي المذكور في هذه الفقرة؟,المشكلة دي لازم تتحلّ فعلًا!,Easy,المشكله دي لازم تتحل فعلا !,ما النص الحرفي المذكور في هذه الفقره ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q026,ماذا ورد في هذا الموضع من النص؟,"من كام يوم، كنت بكلّم الـ""دليفري""،",Medium,من كام يوم ، كنت بكلم الدليفري ،,ماذا ورد في هذا الموضع من النص ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q027,ما الجملة المذكورة في هذا السياق؟,"قُلتله: عايز فطيرة سجق ""شيري""،",Easy,قلتله: عايز طيره سجق شيري ،,ما الجمله المذكوره في هذا السياق ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q028,كيف صيغت العبارة هنا؟,بدل ما أقولّه: فطيرة سجق شيدر!,Medium,بدل ما اقوله: طيره سجق شيدر !,كيف صيغت العباره هنا ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q029,ما الذي قيل في هذا الجزء؟,كنت، يعني، تاخد منّي الذكاء،,Easy,كنت ، يعني ، تاخد مني الذكاء ،,ما الذي قيل في هذا الجزء ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q030,ما النص الحرفي المذكور في هذه الفقرة؟,وخُد منها الجَمال بس،,Medium,وخد منها الجمال بس ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q031,ماذا ورد في هذا الموضع من النص؟,ليه خدت منها الذكاء، وخدت منّي الجَمال؟!,Easy,ليه خدت منها الذكاء ، وخدت مني الجمال ؟ !,ماذا ورد في هذا الموضع من النص ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q032,ما الجملة المذكورة في هذا السياق؟,ليه كدا يا لساني؟!,Medium,ليه كدا يا لساني ؟ !,ما الجمله المذكوره في هذا السياق ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q033,كيف صيغت العبارة هنا؟,ما سهلة أهي! سهلة!,Easy,ما سهله اهي ! سهله !,كيف صيغت العباره هنا ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q034,ما الذي قيل في هذا الجزء؟,اسمع...,Medium,اسمع . . .,ما الذي قيل في هذا الجزء ؟,True
ArytJ_HZ-1E,هل Citizen Kane أفضل فيلم في التاريخ؟ | الدحيح,ArytJ_HZ-1E_Q035,ما النص الحرفي المذكور في هذه الفقرة؟,ركّز معايا...,Easy,ركز معايا . . .,ما النص الحرفي المذكور في هذه الفقره ؟,True
