video_id,video_title,question_id,question,answer,difficulty,normalized_answer,normalized_question,is_aligned
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q001,ماذا ورد في هذا الموضع من النص؟,"أنا ""هَنا""، في خدمة سموّك.",Easy,انا هنا ، في خدمه سموك .,ماذا ورد في هذا الموضع من النص ؟,True
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q002,ما الجملة المذكورة في هذا السياق؟,أن نستعين بخدماتك في Event.,Medium,ان نستعين بخدماتك في event .,ما الجمله المذكوره في هذا السياق ؟,True
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q003,كيف صيغت العبارة هنا؟,"في ""طهران"" و""زايد""،",Easy,في طهران وزايد ،,كيف صيغت العباره هنا ؟,True
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q004,ما الذي قيل في هذا الجزء؟,بس انت عايز تزعّل الـEx طبعًا، صح؟,Medium,بس انت عايز تزعل ال ex طبعا ، صح ؟,ما الذي قيل في هذا الجزء ؟,True
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,مذابح Planners تانيين،,Easy,مذابح planner تانيين ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q006,ماذا ورد في هذا الموضع من النص؟,بـAssassins أجانب ولّا محليين؟,Medium,ب assassin اجانب ولا محليين ؟,ماذا ورد في هذا الموضع من النص ؟,True
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q007,ما الجملة المذكورة في هذا السياق؟,- آه، طبعًا،,Easy,- اه ، طبعا ،,ما الجمله المذكوره في هذا السياق ؟,True
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q008,كيف صيغت العبارة هنا؟,"من برنامج ""الدحّيح""!",Medium,من برنامج الدحيح !,كيف صيغت العباره هنا ؟,True
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q009,ما الذي قيل في هذا الجزء؟,في القرن السادس الميلادي،,Easy,في القرن السادس الميلادي ،,ما الذي قيل في هذا الجزء ؟,True
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,هنراقب قافلة تجارية بتعدّي الصحرا،,Medium,هنراقب قافله تجاريه بتعدي الصحرا ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q011,ماذا ورد في هذا الموضع من النص؟,أقوى دولة في العالم وقتها،,Easy,اقوي دوله في العالم وقتها ،,ماذا ورد في هذا الموضع من النص ؟,True
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q012,ما الجملة المذكورة في هذا السياق؟,"رايحة فين؟ رايحة ""اليمن""،",Medium,رايحه فين ؟ رايحه اليمن ،,ما الجمله المذكوره في هذا السياق ؟,True
