video_id,video_title,question_id,question,answer,difficulty,normalized_answer,normalized_question,is_aligned
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q001,ماذا ورد في هذا الموضع من النص؟,"أخبار ترميم لوحة ""نابليون"" إيه؟",Easy,اخبار وترميم لوحه نابليون ايه ؟,ماذا ورد في هذا الموضع من النص ؟,True
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q002,ما الجملة المذكورة في هذا السياق؟,يبقى نُص جسمه بطة؟,Medium,يبقي نص جسمه بطه ؟,ما الجمله المذكوره في هذا السياق ؟,True
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q003,كيف صيغت العبارة هنا؟,"ما لهاش إجابة يا حضرة الـ""هير (هانز)"".",Easy,ما لهاش اجابه يا حضره الهير .,كيف صيغت العباره هنا ؟,True
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q004,ما الذي قيل في هذا الجزء؟,"بتاعة البطة على ""نابليون بونابرت""،",Medium,بتاعته البطه علي نابليون بونابرت ،,ما الذي قيل في هذا الجزء ؟,True
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,- أيوة...,Easy,- ايوه...,ما النص الحرفي المذكور في هذه الفقره ؟,True
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q006,ماذا ورد في هذا الموضع من النص؟,أستأذنك في حاجة،,Medium,استاذنك في حاجه ،,ماذا ورد في هذا الموضع من النص ؟,True
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q007,ما الجملة المذكورة في هذا السياق؟,يعني، مش لطيف.,Easy,يعني ، مش لطيف .,ما الجمله المذكوره في هذا السياق ؟,True
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q008,كيف صيغت العبارة هنا؟,- إيه؟ حرامي.,Medium,- ايه ؟ حرامي .,كيف صيغت العباره هنا ؟,True
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q009,ما الذي قيل في هذا الجزء؟,السلام عليكم ورحمة الله وبركاته،,Easy,السلام عليكم ورحمه الله وبركاته ،,ما الذي قيل في هذا الجزء ؟,True
8ZL2AAxQmLQ,كيف تنقل جبل وزنه 30 طن قبل أن يغرق؟ | الدحيح,8ZL2AAxQmLQ_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,"من برنامج ""الدحّيح""!",Medium,من برنامج الدحيح !,ما النص الحرفي المذكور في هذه الفقره ؟,True
