video_id,video_title,question_id,question,answer,difficulty,normalized_answer,normalized_question,is_aligned
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q001,ماذا ورد في النص حول هذه الجزئية؟,والساموزين والسامو عليكم!,Easy,الساموزين السامو عليكم !,ماذا ورد في النص حول هذه الجزييه ؟,True
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q002,ما الجملة المذكورة في هذا الموضع؟,من كل مَن حرمه من حلم الساموراي...,Medium,من كل من حرمه من حلم الساموراي . . .,ما الجمله المذكوره في هذا الموضع ؟,True
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q003,كيف صيغت العبارة في النص؟,السلام عليكم ورحمة الله وبركاته،,Easy,السلام عليكم رحمه الله بركاته ،,كيف صيغت العباره في النص ؟,True
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q004,ما الذي قيل في هذا السياق؟,"من برنامج ""الدحّيح""!",Medium,من رنامج الدحيح !,ما الذي قيل في هذا السياق ؟,True
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q005,ما النص الحرفي المذكور هنا؟,خلّيني آخدك مش لمكان واحد،,Easy,خليني اخدك مش لمكان واحد ،,ما النص الحرفي المذكور هنا ؟,True
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q006,ماذا ورد في النص حول هذه الجزئية؟,تعود إلى عائلات ساموراي كبيرة،,Medium,تعود الي عايلات ساموراي كبيره ،,ماذا ورد في النص حول هذه الجزييه ؟,True
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q007,ما الجملة المذكورة في هذا الموضع؟,منتظرين حُكم الإعدام،,Easy,منتظرين حكم الاعدام ،,ما الجمله المذكوره في هذا الموضع ؟,True
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q008,كيف صيغت العبارة في النص؟,من حَد بيحصلّه هذا الحُكم,Medium,من حد يحصله هذا الحكم,كيف صيغت العباره في النص ؟,True
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q009,ما الذي قيل في هذا السياق؟,بل كان بيخططلها.,Easy,بل كان يخططلها .,ما الذي قيل في هذا السياق ؟,True
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q010,ما النص الحرفي المذكور هنا؟,عشان تستقبل هذا الحدث،,Medium,عشان تستقبل هذا الحدث ،,ما النص الحرفي المذكور هنا ؟,True
