video_id,video_title,question_id,question,answer,difficulty,normalized_answer,normalized_question,is_aligned
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q001,ماذا ورد في هذا الموضع من النص؟,- إيه؟!,Easy,- ايه ؟ !,ماذا ورد في هذا الموضع من النص ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q002,ما الجملة المذكورة في هذا السياق؟,ما تعرفش أولها من آخرها.,Medium,ما تعرفش اولها من اخرها .,ما الجمله المذكوره في هذا السياق ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q003,كيف صيغت العبارة هنا؟,كل امتيازات ورفاهية المُلك ازاي!,Easy,كل امتيازات ورفاهيه الملك ازاي !,كيف صيغت العباره هنا ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q004,ما الذي قيل في هذا الجزء؟,السلام عليكم ورحمة الله وبركاته،,Medium,السلام عليكم ورحمه الله وبركاته ،,ما الذي قيل في هذا الجزء ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,"من برنامج ""الدحّيح""!",Easy,من برنامج الدحيح !,ما النص الحرفي المذكور في هذه الفقره ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q006,ماذا ورد في هذا الموضع من النص؟,تعالى نفتح مع بعض كتاب...,Medium,تعالي نفتح مع بعض كتاب...,ماذا ورد في هذا الموضع من النص ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q007,ما الجملة المذكورة في هذا السياق؟,كما يصف نفسه يعني،,Easy,كما يصف نفسه يعني ،,ما الجمله المذكوره في هذا السياق ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q008,كيف صيغت العبارة هنا؟,"أكيد بيتمنى من ربنا (أوكرانيا).""",Medium,اكيد بيتمني من ربنا .,كيف صيغت العباره هنا ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q009,ما الذي قيل في هذا الجزء؟,"بيتخيل ""بوتين"" بيسأل ربنا،",Easy,بيتخيل بوتين بيسال ربنا ،,ما الذي قيل في هذا الجزء ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,تفصيلة جغرافية في الخريطة؟,Medium,تفصيله جغرافيه في الخريطه ؟,ما النص الحرفي المذكور في هذه الفقره ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q011,ماذا ورد في هذا الموضع من النص؟,أي حاجز منيع طبيعي كدا,Easy,اي حاجز منيع طبيعي كدا,ماذا ورد في هذا الموضع من النص ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q012,ما الجملة المذكورة في هذا السياق؟,ويخلّينا قاعدين متطمنين؟,Medium,ويخلينا قاعدين متطمنين ؟,ما الجمله المذكوره في هذا السياق ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q013,كيف صيغت العبارة هنا؟,"أي حاكم عدّى على ""روسيا"" على مر القرون،",Easy,اي حاكم عدي علي روسيا علي مر القرون ،,كيف صيغت العباره هنا ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q014,ما الذي قيل في هذا الجزء؟,"إشارة واحدة تقولّك: ""هدّئ""،",Medium,اشاره واحده تقولك: هدي ،,ما الذي قيل في هذا الجزء ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q015,ما النص الحرفي المذكور في هذه الفقرة؟,من أكبر السهول الممتدة على الكوكب،,Easy,من اكبر السهول الممتده علي الكوكب ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q016,ماذا ورد في هذا الموضع من النص؟,بآخد على قفايا من المنطقة دي!,Medium,باخد علي قفايا من المنطقه دي !,ماذا ورد في هذا الموضع من النص ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q017,ما الجملة المذكورة في هذا السياق؟,"(هتلر) يخُش من هنا!""",Easy,يخش من هنا !,ما الجمله المذكوره في هذا السياق ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q018,كيف صيغت العبارة هنا؟,عايزة تقفل هذا السرسوب!,Medium,عايزه تقفل هذا السرسوب !,كيف صيغت العباره هنا ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q019,ما الذي قيل في هذا الجزء؟,من الاحتياج للتوسع،,Easy,من الاحتياج للتوسع ،,ما الذي قيل في هذا الجزء ؟,True
z2NGnjXG5uQ,كيف تحولت روسيا إلى إمبراطورية؟ | الدحيح,z2NGnjXG5uQ_Q020,ما النص الحرفي المذكور في هذه الفقرة؟,عايزاها دايمًا تتمطى،,Medium,عايزاها دايما تتمطي ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
