video_id,video_title,question_id,question,answer,difficulty,normalized_answer,normalized_question,is_aligned
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q001,ماذا ورد في هذا الموضع من النص؟,- يا سلام! وإيه بقى اللي حصل؟,Easy,- يا سلام ! وايه بقي اللي حصل ؟,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q002,ما الجملة المذكورة في هذا السياق؟,إيه الطلقة الواحدة اللي تقتل جوزي,Medium,ايه الطلقه الواحده اللي تقتل جوزي,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q003,كيف صيغت العبارة هنا؟,في كل الناس، ولّا إيه؟!,Easy,في كل الناس ، ولا ايه ؟ !,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q004,ما الذي قيل في هذا الجزء؟,وانتي بتهربي من العربية لمّا اتضرب بالنار.,Medium,وانتي بتهربي من العربيه لما اتضرب بالنار .,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,"متعدّلة بالـ""فوتوشوب""!",Easy,متعدله بالفوتوشوب !,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q006,ماذا ورد في هذا الموضع من النص؟,الجهاز الفاشل المجنون المُهزّأ بالشكل دا!,Medium,الجهاز الفاشل المجنون المهزا بالشكل دا !,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q007,ما الجملة المذكورة في هذا السياق؟,ييجي ينقذ الموقف اللي احنا فيه؟!,Easy,ييجي ينقذ الموقف اللي احنا فيه ؟ !,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q008,كيف صيغت العبارة هنا؟,السلام عليكم ورحمة الله وبركاته،,Medium,السلام عليكم ورحمه الله وبركاته ،,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q009,ما الذي قيل في هذا الجزء؟,"من برنامج ""الدحّيح""!",Easy,من برنامج الدحيح !,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,تعالى نقف من بعيد، نتفرج من بعيد،,Medium,تعالي نقف من بعيد ، نتفرج من بعيد ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q011,ماذا ورد في هذا الموضع من النص؟,"وفين؟ في ""دالاس""، ""تكساس""،",Easy,وفين ؟ في دالاس ، تكساس ،,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q012,ما الجملة المذكورة في هذا السياق؟,"في موكب ""ديلي بلازا""،",Medium,في موكب ديلي بلازا ،,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q013,كيف صيغت العبارة هنا؟,وسط تصفيق وهتافات من الجمهور،,Easy,وسط تصفيق وهتافات من الجمهور ،,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q014,ما الذي قيل في هذا الجزء؟,اللي كان وقتها في عز شعبيته،,Medium,اللي كان وقتها في عز شعبيته ،,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q015,ما النص الحرفي المذكور في هذه الفقرة؟,"في ""ليموزين"" مكشوفة، ولا اللي بتنقل عزالها،",Easy,في ليموزين مكشوفه ، ولا اللي بتنقل عزالها ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q016,ماذا ورد في هذا الموضع من النص؟,هذا المشهد المثالي بينهار أمامنا،,Medium,هذا المشهد المثالي بينهار امامنا ،,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q017,ما الجملة المذكورة في هذا السياق؟,بنشوف طلقة، والتانية، وأخيرًا التالتة،,Easy,بنشوف طلقه ، والتانيه ، واخيرا التالته ،,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q018,كيف صيغت العبارة هنا؟,بعد تقريبًا نُص ساعة،,Medium,بعد تقريبا نص ساعه ،,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q019,ما الذي قيل في هذا الجزء؟,"بيخرج ""والتر كرونكايت""",Easy,بيخرج والتر كرونكايت,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q020,ما النص الحرفي المذكور في هذه الفقرة؟,إنها قبضت على المشتبه فيه الأول،,Medium,انها قبضت علي المشتبه فيه الاول ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q021,ماذا ورد في هذا الموضع من النص؟,"كقاتل الرئيس الأمريكي ""جون إف. كينيدي"".",Easy,كقاتل الرييس الامريكي جون اف . كينيدي .,ماذا ورد في هذا الموضع من النص ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q022,ما الجملة المذكورة في هذا السياق؟,في مينا أمريكي.,Medium,في مينا امريكي .,ما الجمله المذكوره في هذا السياق ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q023,كيف صيغت العبارة هنا؟,"حط لحظة وفاة ""جون. إف. كينيدي""",Easy,حط لحظه وفاه جون . اف . كينيدي,كيف صيغت العباره هنا ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q024,ما الذي قيل في هذا الجزء؟,"في تاريخ ""أمريكا""،",Medium,في تاريخ امريكا ،,ما الذي قيل في هذا الجزء ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q025,ما النص الحرفي المذكور في هذه الفقرة؟,على وهم الأمان عند الأمريكان،,Easy,علي وهم الامان عند الامريكان ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
yc7x5jNhXIQ,جون كينيدي | الدحيح,yc7x5jNhXIQ_Q026,ماذا ورد في هذا الموضع من النص؟,بيحاولوا يبيعوها للعالَم،,Medium,بيحاولوا يبيعوها للعالم ،,ماذا ورد في هذا الموضع من النص ؟,True
