video_id,video_title,question_id,question,answer,difficulty,normalized_answer,normalized_question,is_aligned
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q001,ماذا ورد في هذا الموضع من النص؟,دي كل الاحداثيات اللي معانا وملخص للبعثه,Easy,دي كل الاحداثيات اللي معانا وملخص للبعثه,ماذا ورد في هذا الموضع من النص ؟,True
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q002,ما الجملة المذكورة في هذا السياق؟,اكتشفته قبل ما تيجي لا لا البعثه,Medium,اكتشفتها قبل ما تيجي لا لا البعثه,ما الجمله المذكوره في هذا السياق ؟,True
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q003,كيف صيغت العبارة هنا؟,[موسيقى] الاستكشافيه اللي قدامي دي بايظه,Easy,الاستكشافيه اللي قدامي دي بايظه,كيف صيغت العباره هنا ؟,True
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q004,ما الذي قيل في هذا الجزء؟,خالص المؤن مضروبه والاتجاهات بايظه انا,Medium,خالص المون مضروبه والاتجاهات بايظه انا,ما الذي قيل في هذا الجزء ؟,True
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,عايز اعرف مين المستكشف الحمار اللي كان,Easy,عايز اعرف مين لمستكشف الحمار اللي كان,ما النص الحرفي المذكور في هذه الفقره ؟,True
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q006,ماذا ورد في هذا الموضع من النص؟,شغال قبلي,Medium,شغال قبلي,ماذا ورد في هذا الموضع من النص ؟,True
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q007,ما الجملة المذكورة في هذا السياق؟,>> الجنرال ارثر الله يرحمه قبل ما التمساح,Easy,>> الجنرال ارثر الله يرحمه قبل ما التمساح,ما الجمله المذكوره في هذا السياق ؟,True
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q008,كيف صيغت العبارة هنا؟,يعمله بوفتيك,Medium,يعمله بوفتيك,كيف صيغت العباره هنا ؟,True
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q009,ما الذي قيل في هذا الجزء؟,>> مبدئيا البوصله دي كارفه شمال شرق ممكن,Easy,>> مبدييا البوصله دي كارفه شمال شرق ممكن,ما الذي قيل في هذا الجزء ؟,True
nc8oJTETqoI,منابع النيل | الدحيح,nc8oJTETqoI_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,اجيب لكم حاجه من عندي باستعمال خفيف بس,Medium,اجيب لكم حاجه من عندي باستعمال خفيف بس,ما النص الحرفي المذكور في هذه الفقره ؟,True
