video_id,video_title,question_id,question,answer,difficulty,normalized_answer,normalized_question,is_aligned
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q001,ماذا ورد في هذا الموضع من النص؟,"هو اللي قالّي: ""نُط""، هنُط.",Easy,هو اللي قالي: نط ، هنط .,ماذا ورد في هذا الموضع من النص ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q002,ما الجملة المذكورة في هذا السياق؟,إنك تموت معانا يا رأسمالي يا سفيه!,Medium,انك تموت معانا يا راسمالي يا سفيه !,ما الجمله المذكوره في هذا السياق ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q003,كيف صيغت العبارة هنا؟,- أيوة. اطردوه برة.,Easy,- ايوه . اطردوه بره .,كيف صيغت العباره هنا ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q004,ما الذي قيل في هذا الجزء؟,artificial sweeteners،,Medium,artificial sweeteners ،,ما الذي قيل في هذا الجزء ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q005,ما النص الحرفي المذكور في هذه الفقرة؟,السلام عليكم ورحمة الله وبركاته،,Easy,السلام عليكم ورحمه الله وبركاته ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q006,ماذا ورد في هذا الموضع من النص؟,"من برنامج ""الدحّيح""!",Medium,من برنامج الدحيح !,ماذا ورد في هذا الموضع من النص ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q007,ما الجملة المذكورة في هذا السياق؟,وحاول ما تندمش إن انت ادّتني إيدك المرادي،,Easy,وحاول ما تندمش ان انت ادتني ايدك المرادي ،,ما الجمله المذكوره في هذا السياق ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q008,كيف صيغت العبارة هنا؟,في أعماق إحدى الغابات الاستوائية،,Medium,في اعماق احدي الغابات الاستواييه ،,كيف صيغت العباره هنا ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q009,ما الذي قيل في هذا الجزء؟,واقفة في صف طويل جدًا من الناس،,Easy,واقفه في صف طويل جدا من الناس ،,ما الذي قيل في هذا الجزء ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q010,ما النص الحرفي المذكور في هذه الفقرة؟,وهُما ماسكين كوبايات،,Medium,وهما ماسكين كوبايات ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q011,ماذا ورد في هذا الموضع من النص؟,اللي لابس نضارة سودا،,Easy,اللي لابس نضاره سودا ،,ماذا ورد في هذا الموضع من النص ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q012,ما الجملة المذكورة في هذا السياق؟,على كرسي كأنه عرش،,Medium,علي كرسي كانه عرش ،,ما الجمله المذكوره في هذا السياق ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q013,كيف صيغت العبارة هنا؟,قامت الناس رافعة الكوبايات اللي كان فيهم سِم،,Easy,قامت الناس رافعه الكوبايات اللي كان فيهم سم ،,كيف صيغت العباره هنا ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q014,ما الذي قيل في هذا الجزء؟,وزي ما شُفنا، أطفال،,Medium,وزي ما شفنا ، اطفال ،,ما الذي قيل في هذا الجزء ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q015,ما النص الحرفي المذكور في هذه الفقرة؟,صوت الغابة بيرجع يعلى من تاني،,Easy,صوت الغابه بيرجع يعلي من تاني ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q016,ماذا ورد في هذا الموضع من النص؟,وكان موجود على العرش، وانتحر،,Medium,وكان موجود علي العرش ، وانتحر ،,ماذا ورد في هذا الموضع من النص ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q017,ما الجملة المذكورة في هذا السياق؟,من أكبر عمليات الانتحار الجماعي في التاريخ.,Easy,من اكبر عمليات الانتحار الجماعي في التاريخ .,ما الجمله المذكوره في هذا السياق ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q018,كيف صيغت العبارة هنا؟,مش ازاي كل دُول ماتوا،,Medium,مش ازاي كل دول ماتوا ،,كيف صيغت العباره هنا ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q019,ما الذي قيل في هذا الجزء؟,وافقوا بإرادتهم الحُرة,Easy,وافقوا بارادتهم الحره,ما الذي قيل في هذا الجزء ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q020,ما النص الحرفي المذكور في هذه الفقرة؟,كانت إجابته بسيطة جدًا،,Medium,كانت اجابته بسيطه جدا ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q021,ماذا ورد في هذا الموضع من النص؟,"على حسب قاموس ""ويبستر""،",Easy,علي حسب قاموس ويبستر ،,ماذا ورد في هذا الموضع من النص ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q022,ما الجملة المذكورة في هذا السياق؟,ليها عقائد أو ممارسات,Medium,ليها عقايد او ممارسات,ما الجمله المذكوره في هذا السياق ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q023,كيف صيغت العبارة هنا؟,معزولة وهي بتشرب السِم,Easy,معزوله وهي بتشرب السم,كيف صيغت العباره هنا ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q024,ما الذي قيل في هذا الجزء؟,"يطيعوا قائد بعينه؟!""",Medium,يطيعوا قايد بعينه ؟ !,ما الذي قيل في هذا الجزء ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q025,ما النص الحرفي المذكور في هذه الفقرة؟,بفكر إن أنا يبقى عندي cult صغير،,Easy,بفكر ان انا يبقي عندي cult صغير ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q026,ماذا ورد في هذا الموضع من النص؟,"ويقول: ""نفسي أنتمي لطائفة،",Medium,ويقول: نفسي انتمي لطايفه ،,ماذا ورد في هذا الموضع من النص ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q027,ما الجملة المذكورة في هذا السياق؟,مش بتقدّم نفسها كمشروع للموت،,Easy,مش بتقدم نفسها كمشروع للموت ،,ما الجمله المذكوره في هذا السياق ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q028,كيف صيغت العبارة هنا؟,اللي موجودة في حياتنا،,Medium,اللي موجوده في حياتنا ،,كيف صيغت العباره هنا ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q029,ما الذي قيل في هذا الجزء؟,اللي بيلعب على احتياج الناس،,Easy,اللي بيلعب علي احتياج الناس ،,ما الذي قيل في هذا الجزء ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q030,ما النص الحرفي المذكور في هذه الفقرة؟,احتياجك للانتماء،,Medium,احتياجك للانتماء ،,ما النص الحرفي المذكور في هذه الفقره ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q031,ماذا ورد في هذا الموضع من النص؟,تتغلب على محدوديتك كفرد.,Easy,تتغلب علي محدوديتك كفرد .,ماذا ورد في هذا الموضع من النص ؟,True
NJ-JcDcff8o,كيف تسيطر على عقول البشر؟ | الدحيح,NJ-JcDcff8o_Q032,ما الجملة المذكورة في هذا السياق؟,عاملة زي ما تكون حاجة موجودة في الـDNA،,Medium,عامله زي ما تكون حاجه موجوده في ال dna ،,ما الجمله المذكوره في هذا السياق ؟,True
